ad_id,date,platform,campaign_name,spend,impressions,clicks,conversions
ad_1045,15-09-26,google ads,Retargeting_Churn,242,22599,856,87
ad_1046,15-09-26,google ads,performance_max_q3,193.56,19416,1358,55
ad_1047,16-09-26,google ads,Brand_Awareness_2026,434.93,56582,3247,119
ad_1048,16-09-26,TikTok Ads,Performance_Max_Q3,412.11,54416,3025,168
ad_1049,16-09-26,meta ads,brand_awareness_2026,29.09,2433,136,14
ad_1050,16-09-26,google ads,Performance_Max_Q3,148.11,17724,957,110
ad_1051,17-09-26,TikTok Ads,Brand_Awareness_2026,278.51,29759,1497,54
ad_1052,17-09-26,Google Ads,Retargeting_Churn,126.91,15735,419,37
ad_1053,18-09-26,TikTok Ads,Performance_Max_Q3,58.99,8603,596,86
ad_1054,18-09-26,meta ads,Performance_Max_Q3,251.58,14886,776,36
ad_1055,19-09-26,Google Ads,Retargeting_Churn,466.16,69734,970,88
ad_1056,19-09-26,Meta Ads,brand_awareness_2026,484.64,64794,4579,345
ad_1057,20-09-26,Google Ads,brand_awareness_2026,447.03,45298,1192,157
ad_1058,20-09-26,meta ads,Brand_Awareness_2026,474.15,59428,2159,261
ad_1059,20-09-26,Meta Ads,brand_awareness_2026,454.11,45076,486,13
ad_1060,21-09-26,Google Ads,Brand_Awareness_2026,343.71,30941,1344,119
ad_1061,21-09-26,TikTok Ads,brand_awareness_2026,15.96,866,62,9
ad_1062,22-09-26,meta ads,Performance_Max_Q3,350.75,23367,588,87
ad_1063,22-09-26,Meta Ads,Brand_Awareness_2026,458.47,25576,962,61
ad_1064,23-09-26,meta ads,performance_max_q3,237.21,25705,396,58
ad_1065,23-09-26,Google Ads,Brand_Awareness_2026,161.67,19153,409,51
ad_1066,23-09-26,google ads,Performance_Max_Q3,365.6,33570,2527,65
ad_1067,24-09-26,Google Ads,Brand_Awareness_2026,245.38,21513,1343,171
ad_1068,24-09-26,Google Ads,Retargeting_Churn,0,1010,29,
ad_1069,24-09-26,meta ads,Brand_Awareness_2026,271.83,38414,1957,231
ad_1070,24-09-26,Meta Ads,Brand_Awareness_2026,128.13,9628,281,37
ad_1071,25-09-26,meta ads,brand_awareness_2026,254.1,33830,1067,155
ad_1072,25-09-26,Meta Ads,Brand_Awareness_2026,299.08,27531,1787,222
ad_1073,25-09-26,meta ads,brand_awareness_2026,181.79,16220,658,42
ad_1074,26-09-26,Google Ads,performance_max_q3,156,18683,1228,158
ad_1075,26-09-26,Google Ads,performance_max_q3,0,552,18,1
ad_1076,26-09-26,Meta Ads,Performance_Max_Q3,273.26,29642,1127,48
ad_1077,27-09-26,Meta Ads,Performance_Max_Q3,262.47,28922,742,48
ad_1078,27-09-26,google ads,Retargeting_Churn,25.58,2646,92,3
ad_1079,28-09-26,TikTok Ads,Performance_Max_Q3,29.26,3300,51,7
ad_1080,28-09-26,TikTok Ads,Brand_Awareness_2026,145.67,18183,416,28
ad_1081,28-09-26,google ads,performance_max_q3,190.77,23798,299,33
ad_1082,29-09-26,Meta Ads,performance_max_q3,62.51,6454,174,12
ad_1083,29-09-26,google ads,Brand_Awareness_2026,421.95,43685,1150,93
ad_1084,29-09-26,google ads,Performance_Max_Q3,327.92,35553,2189,210
ad_1085,29-09-26,meta ads,Performance_Max_Q3,195.6,27377,1438,121
ad_1086,30-09-26,TikTok Ads,Brand_Awareness_2026,126.24,8241,224,9
ad_1087,30-09-26,Google Ads,Performance_Max_Q3,267.01,39580,706,103
ad_1088,30-09-26,meta ads,Brand_Awareness_2026,250.47,33083,1994,163
